Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Day,Month,Year,Dep_Hr,Dep_Min,Arr_Hr,Arr_Min,Duration_Hr,Duration_Min,Duration_bool
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,22:20,01:10,2:50,0,No Info,3897,24,MAR,2019,22,20,1,10,2,50.0,170.0
Air India,1/05/2019,Kolkata,Banglore,CCU → IXR → BBI → BLR,05:50,13:15,7:25,2,No Info,7662,1,MAY,2019,5,50,13,15,7,25.0,445.0
IndiGo,12/05/2019,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5:25,1,No Info,6218,12,MAY,2019,18,5,23,30,5,25.0,325.0
IndiGo,01/03/2019,Banglore,New Delhi,BLR → NAG → DEL,16:50,21:35,4:45,1,No Info,13302,1,MAR,2019,16,50,21,35,4,45.0,285.0
SpiceJet,24/06/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2:25,0,No Info,3873,24,JUN,2019,9,0,11,25,2,25.0,145.0
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,10:25,15:30,1,In-flight meal not included,11087,12,MAR,2019,18,55,10,25,15,30.0,930.0
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,05:05,21:5,1,No Info,22270,1,MAR,2019,8,0,5,5,21,5.0,1265.0
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,10:25,25:30,1,In-flight meal not included,11087,12,MAR,2019,8,55,10,25,25,30.0,1530.0
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7:50,1,No Info,8625,27,MAY,2019,11,25,19,15,7,50.0,470.0
Air India,1/06/2019,Delhi,Cochin,DEL → BLR → COK,09:45,23:00,13:15,1,No Info,8907,1,JUN,2019,9,45,23,0,13,15.0,795.0
IndiGo,18/04/2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,2:35,0,No Info,4174,18,APR,2019,20,20,22,55,2,35.0,155.0
Air India,24/06/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2:15,0,No Info,4667,24,JUN,2019,11,40,13,55,2,15.0,135.0
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20,12:10,1,In-flight meal not included,9663,9,MAY,2019,21,10,9,20,12,10.0,730.0
IndiGo,24/04/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2:35,0,No Info,4804,24,APR,2019,17,15,19,50,2,35.0,155.0
Air India,3/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15,26:35,2,No Info,14011,3,MAR,2019,16,40,19,15,26,35.0,1595.0
SpiceJet,15/04/2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4:30,1,No Info,5830,15,APR,2019,8,45,13,15,4,30.0,270.0
